iter	Passed	Remaining
254	580	1695
255	582	1693
256	585	1692
257	588	1691
258	590	1688
259	592	1685
260	594	1683
261	596	1680
262	598	1678
263	600	1674
264	602	1671
265	604	1667
266	606	1665
267	608	1662
268	610	1659
269	612	1656
270	615	1656
271	617	1653
272	619	1650
273	621	1646
274	623	1643
275	625	1639
276	627	1636
277	629	1633
278	631	1631
279	633	1628
280	634	1624
281	636	1620
282	638	1617
283	640	1614
284	642	1611
285	644	1609
286	646	1605
287	648	1603
288	650	1599
289	652	1597
290	654	1593
291	656	1590
292	658	1588
293	660	1585
294	662	1582
295	664	1579
296	666	1576
297	668	1573
298	669	1570
299	671	1567
300	673	1564
301	675	1560
302	677	1558
303	679	1555
304	681	1552
305	683	1549
306	684	1545
307	686	1543
308	688	1539
309	690	1536
310	692	1534
311	694	1532
312	696	1529
313	698	1526
314	700	1523
315	702	1520
316	704	1517
317	706	1514
318	708	1511
319	710	1508
320	712	1506
321	714	1503
322	716	1501
323	718	1498
324	720	1496
325	722	1493
326	724	1490
327	726	1488
328	728	1484
329	729	1481
330	731	1478
331	733	1476
332	735	1473
333	737	1470
334	739	1467
335	741	1464
336	742	1461
337	744	1458
338	746	1455
339	748	1453
340	750	1450
341	752	1447
342	754	1445
343	756	1442
344	758	1440
345	760	1437
346	762	1434
347	764	1432
348	766	1429
349	768	1426
350	770	1424
351	772	1421
352	774	1419
353	776	1416
354	778	1414
355	780	1411
356	782	1409
357	784	1406
358	786	1404
359	788	1401
360	790	1399
361	792	1397
362	794	1394
363	796	1391
364	798	1389
365	800	1386
366	802	1383
367	804	1381
368	806	1378
369	808	1376
370	809	1373
371	811	1370
372	813	1367
373	815	1365
374	817	1363
375	819	1360
376	821	1358
377	823	1355
378	825	1353
379	828	1351
380	829	1348
381	831	1345
382	833	1342
383	835	1340
384	837	1337
385	839	1335
386	841	1332
387	843	1329
388	844	1327
389	847	1324
390	849	1322
391	851	1320
392	853	1317
393	855	1316
394	857	1313
395	859	1311
396	861	1308
397	863	1306
398	865	1304
399	868	1302
400	870	1299
401	872	1297
402	874	1294
403	876	1292
404	878	1289
405	880	1288
406	882	1285
407	884	1283
408	885	1279
409	887	1277
410	889	1275
411	891	1272
412	893	1270
413	895	1267
414	897	1265
415	899	1262
416	901	1259
417	902	1257
418	905	1255
419	907	1252
420	909	1250
421	911	1247
422	912	1245
423	914	1242
424	917	1241
425	919	1238
426	921	1236
427	923	1234
428	925	1231
429	927	1230
430	930	1227
431	932	1225
432	934	1223
433	936	1221
434	938	1218
435	940	1216
436	942	1213
437	943	1211
438	945	1208
439	948	1207
440	953	1208
441	955	1206
442	958	1204
443	960	1203
444	962	1200
445	966	1200
446	967	1197
447	970	1195
448	973	1194
449	974	1191
450	977	1189
451	978	1186
452	981	1184
453	983	1182
454	985	1180
